HiBench Identity           0.891278291 0.890698469 0.889937268 0.890722424 0.892718558 0.894200869 0.891174646 0.890196868 0.89005558 0.890097624 0.890653002 0.891074424 0.891060736 0.905487359 0.892319624 0.889966113 0.892528869 0.887072868 0.889192691 0.89186398 0.892530824 0.890700913 0.892423269 0.89203118 0.889666424 0.892217447 0.89169238 0.892284424 0.891121847 0.000080178 0.889458157 0.893470469 0.891076869 0.892539624 0.890004246 0.892261446 0.892701935 0.892406158 0.89232598 0.890242335 0.888465713 0.889579891 0.890788424 1.780361959 0.892446247 0.889552024 0.892649135 0.892081536 0.891813624 0.891931446 0.893614202 0.889831668 0.891010869 0.895547758 0.891119402 0.892430603 0.89137558 0.89134038 0.890919935 0.891581402 
HiBench Repartition        0.182574601 0.191553536 0.182071046 0.179477001 0.178897667 0.191633224 0.181955179 0.180034823 0.182001134 0.179786956 0.180593623 0.18039269 0.180424956 0.183751357 0.180619534 0.182367312 0.184540912 0.180281712 0.179996201 0.182641579 0.181162201 0.179950734 0.186959935 0.183957179 0.18836598 0.18217469 0.18290069 0.179644689 0.181666245 0.181668201 0.180896734 0.188275046 0.184198201 0.188885669 0.205158337 0.204522781 0.183879446 0.18125509 0.182719312 0.000032755 0.197083359 0.178783756 0.180478734 0.183577312 0.189387757 0.182318423 0.191546691 0.184603001 0.179533222 0.18106589 0.178035756 0.185944023 0.180821445 0.216692206 0.182855712 0.181202778 0.434058589 0.179136734 0.179996201 0.181814867 
HiBench Wordcount          0.465841259 0.459328769 0.442128678 0.447989968 0.465864726 0.447959657 0.442877168 0.485716551 0.489235084 0.450545391 0.445583167 0.448900769 0.466510059 0.444958857 0.49233904 0.444734945 0.460178948 0.0000396 0.467856948 0.448824501 0.455726636 0.457732058 0.464930459 0.452535169 0.445757212 0.443996723 0.963003189 0.447244412 0.463809436 0.447771923 0.466128237 0.471771971 0.47139797 0.464610726 0.448177701 0.486669395 0.447665835 0.457939836 0.441686234 0.465102548 0.441504856 0.465953704 0.460874148 0.45243299 0.450694501 0.454258502 0.443224278 0.464072459 0.456671658 0.495176063 0.448192368 0.465699481 0.466345304 0.485967839 0.464199082 0.472827483 0.461002236 0.458632592 0.448494012 0.474287304 
HiBench Fixwindow          0.166690599 0.293058126 0.136367261 0.134103217 0.144111752 0.14728953 0.136423484 0.136533484 0.132210239 0.151791219 0.13369255 0.186365445 0.243975631 0.229941584 0.195440203 0.223247228 0.144876374 0.160577531 5.335429921 0.140052507 0.000075288 0.137986951 3.949859479 0.165734332 0.157841709 0.18733149 0.173644066 0.137527884 0.251786121 0.232703318 0.196993892 0.226346295 6.451483707 0.223645672 0.195016336 0.138754507 0.173157622 0.134222506 0.246553543 0.136843929 4.491628125 0.138390773 0.143075795 0.183019979 0.273496701 0.139219929 0.140510596 0.133992239 0.360306757 4.081718695 0.16625451 0.144828462 0.171382466 0.136906995 0.136541795 0.265306833 0.152004864 0.246021631 0.135546417 0.141971885 
Yahoo Streaming Benchmark  0.27503719 1.698574749 0.259145366 0.265811367 0.267342567 0.260647233 0.2594299 0.282087458 0.262932789 0.261375189 0.504822331 0.254024255 0.281965235 0.257488033 0.277248435 0.259431366 0.260166656 0.281612747 0.265683279 0.270900701 0.257589722 0.266700168 1.681390791 0.286309014 0.256879855 0.256445232 0.264598922 0.289288793 0.273738212 0.259393233 0.260537233 0.261288167 0.000025912 0.263248123 1.6097646490000002 0.270488079 0.269624212 0.266130123 0.260427721 0.25634501 0.249021454 0.255467944 0.259508611 0.260438967 0.258342611 0.259185944 1.475153965 0.285059414 0.259765766 0.274376702 0.25598861 0.259624966 1.588662246 0.282609102 0.2631479 0.270899235 0.259629855 0.271251723 0.277453769 0.269103056 
NEXMark Query 0            0.111926236 0.112681569 0.111749748 0.113316148 0.112004948 0.111824548 0.113366015 0.112014725 0.11209148 0.111727748 0.112419525 0.112288992 0.111886637 0.11415117 0.11195068 0.113136725 0.111959481 0.112082681 0.112655659 0.111776148 0.111617259 0.112040148 0.112038192 0.112294859 0.111772237 0.11200397 0.127964239 0.11161677 0.111913525 0.112128148 0.111826014 0.111838236 0.112857081 0.111862681 0.111853881 0.112582814 0.111271615 0.11182357 0.123229349 0.112080237 0.234474563 0.112336414 0.111879792 0.111936503 0.111821125 0.112299259 0.111785437 0.112777392 0.113127925 0.112113481 0.111124459 0.112026948 0.112530992 0.112618504 0.111763925 0.000022977 0.111988326 0.111268192 0.111795703 0.127801438 
NEXMark Query 1            0.053288896 0.053723517 0.052364896 0.053169118 0.063685119 0.052907074 0.053052274 0.051894584 0.052901695 0.051898495 0.052848896 0.053778273 0.053169607 0.052067162 0.101708946 0.05327814 0.053412095 0.053750407 0.055478629 0.053201873 0.053235607 0.051662362 0.053220452 0.052960362 0.051861829 0.053153473 0.052293029 0.053897073 0.066979253 0.053678052 0.053070362 0.05819783 0.054213874 0.051998718 0.052211384 0.052880185 0.05167654 0.053369073 0.053880451 0.053338274 0.053373473 0.05337494 0.054645563 0.000011733 0.053025385 0.052085251 0.052952051 0.053841829 0.053102629 0.053206762 0.053356851 0.05304494 0.054394273 0.05254334 0.052228496 0.052064718 0.053575874 0.05215174 0.053096762 0.053454629 
NEXMark Query 2            0.063534542 0.000009778 0.063890942 0.055963607 0.056075074 0.062491741 0.071208142 0.059592629 0.127174193 0.058795252 0.067943342 0.062047342 0.05632783 0.064067919 0.053285474 0.06092583 0.051828096 0.061436719 0.065148364 0.054751652 0.062146096 0.054260807 0.057490407 0.05429894 0.050820006 0.064388631 0.058225207 0.051133873 0.050310585 0.068683031 0.053949385 0.055589607 0.062957652 0.071358231 0.055042052 0.052452896 0.050971562 0.052661162 0.055756807 0.049856406 0.057549563 0.063987741 0.05874343 0.067717964 0.060904808 0.052390318 0.054471518 0.057434674 0.050119918 0.060431564 0.051877473 0.066449786 0.056035474 0.055928407 0.050846407 0.061498808 0.064783653 0.061034853 0.076711077 0.05645543 
NEXMark Query 3            0.189154558 0.177436867 0.181455045 0.216804161 0.178065578 0.174756778 0.156835086 0.179625134 0.158039709 0.184988246 0.197640202 0.18360909 0.180147756 0.197247625 0.180965668 0.192432558 0.164732599 0.182496868 0.176818911 0.18029149 0.176174556 0.167614599 0.180008912 0.176341756 0.183136823 0.077642899 0.169722199 0.188553224 0.176325133 0.227096251 0.189263091 0.182055401 0.179350378 0.182951046 0.178651267 0.168864199 0.156337886 0.180034334 0.171010911 0.193619091 0.183620334 0.194118736 0.187431224 0.176789578 0.202436204 0.189647846 0.156356953 0.178411223 0.1752354 0.183504957 0.188664691 0.180198601 0.185248823 0.188203668 0.1798994 0.185493757 0.179709223 0.184807357 0.186851402 0.189533935 
NEXMark Query 4            0.254807943 0.24140603 0.247355809 0.326194042 0.250143454 0.235133586 0.276220301 0.269713189 0.250835721 0.410669652 0.075831565 0.289190526 0.240571986 0.29773386 0.245245764 0.254986388 0.25360821 0.31496524 0.245306387 0.250046654 0.327477864 0.246754475 0.261007055 0.252554166 0.249256609 0.265580123 0.292776037 0.283811281 0.27740048 0.286552481 0.46220637 0.233702119 0.325765286 0.365676713 0.248602475 0.259084256 0.352109067 0.240137853 0.389334049 0.244525631 0.302147061 0.242736297 0.250934476 0.317497196 0.262704967 0.251950876 0.261446077 0.273786612 0.519182954 0.291350926 0.375592847 0.249381764 0.242561764 0.255160921 0.278678925 0.241567364 0.252514566 0.256235988 0.459098992 0.242077764 
