HiBench Identity           0.876263533 0.876304111 0.872593933 1.752124222 0.877059444 0.876411178 0.872418422 0.877620689 0.877517045 0.8772638 0.877644156 0.875581044 0.873807844 0.876853133 0.876184333 0.877462778 0.875926689 0.872574866 0.873288155 0.877210023 0.877086334 0.873879711 0.875447578 0.874434599 0.873899266 0.872490778 0.877814289 0.875862645 0.878097356 0.872516199 0.877460334 0.873687577 0.869875222 0.873691 0.875884155 0.877710156 0.876862423 0.878442511 0.878052378 0.873823978 0.870863755 0.876900555 0.876585222 0.876984155 0.874025889 0.875093622 0.868793799 0.000071378 0.876312422 0.8748922 0.877723356 0.8774706 0.86701131 0.874864333 0.870520066 0.868999621 0.871150243 0.876267934 0.870977666 0.875373755 
HiBench Repartition        0.142505262 0.138242151 0.133806951 0.137509306 0.145713352 0.146957574 0.133610906 0.142717441 0.169183443 0.196317758 0.140914418 0.142451484 0.138005529 0.146634419 0.169790155 0.141658507 0.148139218 0.13869584 0.13697544 0.13485464 0.417285297 0.187303135 0.137922906 0.151809308 0.164497932 0.130852106 0.13320855 0.156640998 0.174598867 0.134518283 0.141819351 0.151267619 0.214113317 0.149049041 0.139656018 0.130170105 0.170850066 0.000192133 0.135065839 0.147938286 0.146731707 0.13957584 0.14948953 0.133088283 0.137449662 0.147368241 0.137158284 0.144168952 0.145433707 0.155564464 0.141071351 0.140411351 0.144906197 0.160762332 0.130864817 0.156456198 0.145195129 0.148410063 0.233013763 0.204307182 
HiBench Wordcount          0.283726702 0.255047988 0.249013632 0.281877724 0.259205011 0.266671322 0.258127011 0.266321278 0.247682387 0.25272381 0.612391589 0.257686033 0.259300833 0.258758655 0.251392565 0.25325621 0.253954832 0.27046119 0.251678076 0.269800212 0.252378654 0.25437381 0.256941455 0.256809455 0.256087855 0.251541676 0.25335301 0.25410981 0.263134211 0.255655188 0.253807188 0.253563721 0.251815943 0.249886298 0.243018386 0.260852077 0.263052567 0.350499645 0.244124742 0.255124254 0.262938655 0.261791233 0.24979732 0.260479545 0.27111239 0.273802746 0.29961706 0.251507454 0.255089054 0.250935454 0.255437143 0.2616563 0.25515261 0.252703277 0.265662745 0.255644921 0.000034223 0.254408522 0.255233276 0.247288343 
HiBench Fixwindow          0.090808678 0.071154854 0.093971301 0.097929346 0.071611476 0.0916305 0.101191701 0.079690366 0.127160505 0.108691747 0.167786688 0.097008279 1.9346660679999999 0.000046934 0.086701522 0.072123831 1.761956268 0.069720942 0.203052204 0.089649523 0.070600454 0.074787787 0.143287974 0.071236009 0.131906639 0.081473344 1.860705969 0.070872764 0.080713122 0.241583008 0.074977476 1.726963552 0.127158061 0.094914368 0.071047787 0.070675253 0.115541081 0.088169167 0.146760063 0.086878989 0.071018943 0.11139237 0.075525521 0.069235475 0.069794276 0.097900012 0.12811775 0.132885395 0.127468016 0.080435922 0.071171476 0.070742231 0.074392765 1.968450738 0.071150453 0.083126277 0.071826587 0.103451836 0.0859105 0.072552587 
Yahoo Streaming Benchmark  0.166197309 1.087042626 0.183485401 0.177301445 0.16760971 0.189106647 0.18860749 0.194832513 0.18382909 0.173521356 0.183598334 0.170729311 0.173425533 0.175073089 0.178747089 0.145707485 0.92652865 0.168003755 0.183080112 0.181946867 0.164402599 0.169242111 0.000016133 0.175561489 1.027854308 0.174225356 0.174391578 0.178253312 0.162542376 0.176772956 0.177080956 0.177715045 0.170277577 0.169379488 0.187906912 0.176266956 0.973119279 0.182484646 0.182353623 0.157909665 0.181466779 0.165969976 0.280710747 0.170064422 0.188069224 0.184158601 0.169707533 0.172901933 0.953186299 0.165859488 0.171061755 0.169265089 0.177982467 0.15976402 0.175858733 0.174449266 0.195958914 0.171723222 0.173571711 0.166322954 
NEXMark Query 0            0.066184809 0.06745592 0.061622496 0.060910186 0.059948052 0.061121385 0.065304808 0.062744986 0.060475074 0.060350408 0.069754675 0.06244383 0.063013875 0.061200097 0.060146541 0.067053565 0.060807519 0.062132408 0.061397119 0.000012222 0.060614896 0.065200186 0.060684319 0.060134319 0.06181463 0.062164186 0.058477963 0.061283208 0.061723208 0.062485874 0.061368763 0.06362303 0.061315964 0.061093519 0.065148852 0.062714674 0.061962764 0.06077623 0.061595119 0.06248783 0.060298586 0.062922941 0.061274408 0.061064185 0.061598052 0.063656275 0.121442949 0.061221608 0.060469207 0.060544985 0.061404452 0.061112096 0.06105343 0.062049786 0.062589519 0.062524496 0.061116497 0.061240186 0.060795296 0.060238452 
NEXMark Query 1            0.032025648 0.030463649 0.029050759 0.029975737 0.030666048 0.03128987 0.029921471 0.000010755 0.031547026 0.029112359 0.027499515 0.02919987 0.029498582 0.027350404 0.030037337 0.032602537 0.02930107 0.029130448 0.029078625 0.028950048 0.03040596 0.031900982 0.029868182 0.029646715 0.027153871 0.030583915 0.033007338 0.035922094 0.029630093 0.035565693 0.035335916 0.031177915 0.051605651 0.029668715 0.031452181 0.029087915 0.036708716 0.029708315 0.035018627 0.030131693 0.032700316 0.029172004 0.02975867 0.032078449 0.031155915 0.031915649 0.02930107 0.039523739 0.031724982 0.031715204 0.028695826 0.029310359 0.03015907 0.030996537 0.03003196 0.029753782 0.031652626 0.027940004 0.03025636 0.027934625 
NEXMark Query 2            0.034798137 0.047105917 0.037791605 0.03781165 0.036348894 0.03529436 0.036524405 0.034816716 0.036253071 0.000010756 0.035517293 0.036327383 0.035006405 0.036430538 0.039259739 0.037602894 0.037648849 0.034821115 0.035979294 0.036982005 0.03731396 0.033813026 0.035723115 0.035766138 0.036396804 0.029680937 0.038798716 0.035185338 0.028530092 0.035954849 0.035169204 0.034702316 0.036798672 0.036041383 0.037609249 0.035583294 0.038317649 0.035374049 0.028038759 0.034106849 0.036292183 0.035838983 0.034947738 0.037689916 0.031724004 0.033556849 0.034403116 0.036688182 0.028001115 0.035195604 0.028690937 0.037589205 0.035698671 0.037717294 0.037792582 0.036960494 0.036820183 0.034677382 0.057351074 0.031964049 
NEXMark Query 3            0.081013788 0.106902902 0.081143343 0.0878949 0.082874499 0.081184411 0.089848501 0.049219873 0.096012901 0.082289299 0.102990813 0.079138411 0.086424322 0.081236233 0.090927967 0.082827567 0.095429656 0.083672855 0.088526545 0.087962367 0.086177922 0.084591966 0.079841921 0.089837745 0.093088857 0.088244456 0.091164101 0.085657256 0.0843529 0.083695833 0.099929391 0.094472412 0.088603789 0.087729166 0.098823523 0.098259835 0.085582456 0.079026455 0.079405343 0.082229655 0.08362201 0.088021033 0.083840055 0.092828279 0.108277658 0.082818277 0.087299434 0.092745168 0.082586055 0.078662233 0.102100058 0.083614677 0.080777654 0.089101966 0.086375433 0.095319657 0.094316945 0.091703344 0.086088456 0.084218455 
NEXMark Query 4            0.14662513 0.183706378 0.142999529 0.212509272 0.190124024 0.137259973 0.189988113 0.03998036 0.125963216 0.263346389 0.123953883 0.137966417 0.211148205 0.141560729 0.137466773 0.138952017 0.13810135 0.187708912 0.176607222 0.154585708 0.14971833 0.125486549 0.226723229 0.123779349 0.140757973 0.126390505 0.127299838 0.172646733 0.243877853 0.129037349 0.266457678 0.152535308 0.142982907 0.154823797 0.248830787 0.160574109 0.203129936 0.133922817 0.136681129 0.133801083 0.12663006 0.133369884 0.153105353 0.156999353 0.159181753 0.181657445 0.134843883 0.132698639 0.222210784 0.13159815 0.132957261 0.121649749 0.152940597 0.167685488 0.154524597 0.168108377 0.162272998 0.133760506 0.178760778 0.199887626 
